% Model:              2d.mph
% Version:            COMSOL 5.4.0.225
% Date:               Jun 26 2019, 14:46
% Dimension:          2
% Nodes:              21311
% Expressions:        3
% Description:        Velocity field, r component, Velocity field, z component, Pressure
% Length unit:        m
% r                       z                        u (m/s)                  w (m/s)                  p (Pa)
0                         0                        0                        2.7954675983409016       0.9999903293809885
0                         1.0E-4                   0                        2.7973047234887223       0.9999846037357827
0                         2.0E-4                   0                        2.799141848636543        0.999978878090577
0                         3.0000000000000003E-4    0                        2.800978973784364        0.9999731524453711
0                         4.0E-4                   0                        2.805483426124536        0.9999618268573932
0                         5.0E-4                   0                        2.8119947155207305       0.9999462879982804
0                         6.000000000000001E-4     0                        2.8185060049169257       0.9999307491391678
0                         7.0E-4                   0                        2.825648487378681        0.9999154980553756
0                         8.0E-4                   0                        2.8366266111734406       0.9999019957279838
0                         9.000000000000001E-4     0                        2.8476047349682005       0.9998884934005919
0                         0.001                    3.1228557492701043E-18   2.8585828587629605       0.9998749910732001
0                         0.0011                   -2.3192294562575166E-18  2.8728991981525          0.9998609800814382
0                         0.0012000000000000001    0                        2.888566091325313        0.9998467632975185
0                         0.0013000000000000002    -2.3192294562575166E-18  2.904232984498127        0.9998325465135989
0                         0.0014                   -3.123499864420576E-18   2.9213246091126814       0.9998182602155795
0                         0.0015                   0                        2.9420327802714827       0.9998037974625664
0                         0.0016                   0                        2.9627409514302845       0.9997893347095534
0                         0.0017000000000000001    -3.123499864420576E-18   2.9834491225890862       0.9997748719565405
0                         0.0018000000000000002    7.999660951987987E-18    3.0088293131438095       0.9997593971038103
0                         0.0019                   0                        3.0350129362880907       0.9997437482034518
0                         0.002                    7.999660951987987E-18    3.0611965594323713       0.9997280993030931
0                         0.0021000000000000003    -4.9510142847945935E-18  3.089934058696743        0.9997118655009758
0                         0.0022                   0                        3.1221421152117053       0.9996948368541028
0                         0.0023                   0                        3.1543501717266675       0.9996778082072297
0                         0.0024000000000000002    0                        3.18655822824163         0.9996607795603567
0                         0.0025                   0                        3.2254447998767546       0.9996419930476768
0                         0.0026000000000000003    0                        3.2643678135232017       0.9996231969430194
0                         0.0027                   0                        3.3032908271696497       0.9996044008383621
0                         0.0028                   -7.178899543608366E-18   3.3464880965449533       0.9995843385189569
0                         0.0029000000000000002    0                        3.3929731358050645       0.9995633022235006
0                         0.003                    0                        3.439458175065176        0.9995422659280445
0                         0.0031000000000000003    0                        3.487110027819723        0.9995208457737421
0                         0.0032                   0                        3.5421821812503778       0.9994969844854706
0                         0.0033                   0                        3.597254334681033        0.9994731231971992
0                         0.0034000000000000002    0                        3.6523264881116875       0.9994492619089276
0                         0.0035                   0                        3.714339190655119        0.9994228949652757
0                         0.0036000000000000003    0                        3.779234735756029        0.9993954872668007
0                         0.0037                   0                        3.844130280856939        0.9993680795683257
0                         0.0038                   -1.1777302804565994E-17  3.9121590897968055       0.999339435972689
0                         0.0039000000000000003    0                        3.9883584599808914       0.9993075695480889
0                         0.004                    -2.3554605609131987E-17  4.064557830164977        0.9992757031234889
0                         0.0041                   0                        4.140757200349063        0.9992438366988887
0                         0.004200000000000001     0                        4.228038541027909        0.9992071941109449
0                         0.0043                   0                        4.317308747400562        0.9991696943516681
0                         0.0044                   0                        4.406578953773215        0.9991321945923912
0                         0.0045000000000000005    0                        4.502192723809338        0.9990916830954817
0                         0.0046                   0                        4.606621051649691        0.9990469867055275
0                         0.0047                   0                        4.711049379490044        0.9990022903155732
0                         0.0048000000000000004    -1.612514737647941E-17   4.815477707330399        0.9989575939256191
0                         0.0049                   0                        4.937340416368025        0.9989039699829193
0                         0.005                    0                        5.059394434305707        0.9988502480774484
0                         0.0051                   0                        5.181448452243389        0.9987965261719773
0                         0.005200000000000001     -2.193111511517849E-17   5.314950740616313        0.9987362196647392
0                         0.0053                   0                        5.4574554277399665       0.9986707353263995
0                         0.0054                   -2.193111511517849E-17   5.599960114863621        0.9986052509880597
0                         0.0055000000000000005    0                        5.745557046551512        0.9985377505577042
0                         0.0056                   0                        5.911765705019801        0.9984568116243693
0                         0.0057                   0                        6.0779743634880905       0.9983758726910342
0                         0.0058000000000000005    0                        6.244183021956382        0.9982949337576993
0                         0.0059                   0                        6.429481976518108        0.9981992854103949
0                         0.006                    0                        6.622919469561148        0.9980973661738891
0                         0.0061                   0                        6.816356962604187        0.9979954469373833
0                         0.006200000000000001     0                        7.0181205976992365       0.9978869660033348
0                         0.0063                   0                        7.242037479902688        0.9977610264544554
0                         0.0064                   0                        7.465954362106144        0.9976350869055758
0                         0.006500000000000001     0                        7.6898712443096          0.9975091473566964
0                         0.0066                   0                        7.9452173241286665       0.99735948163561
0                         0.0067                   0                        8.201604644264785        0.9972090298732328
0                         0.0068000000000000005    0                        8.458463155634783        0.9970581576592951
0                         0.006900000000000001     0                        8.746616892740699        0.996879360209179
0                         0.007                    0                        9.034770629846612        0.9967005627590628
0                         0.0071                   0                        9.331545734400784        0.9965144800209902
0                         0.007200000000000001     0                        9.655786461923359        0.9963051880909377
0                         0.0073                   0                        9.980027189445934        0.9960958961608855
0                         0.0074                   0                        10.311717624341554       0.9958725066342272
0                         0.007500000000000001     0                        10.674524004007525       0.9955902342527903
